variable,group,transactions,fraud_count,normal_count,transaction_share,fraud_rate,fraud_coverage,fraud_rate_lift
trans_hour,4,41863,46,41817,0.03228488248790175,0.0010988223490910828,0.0061284305888622435,0.1898235371046736
trans_hour,5,42171,60,42111,0.032522413095031524,0.001422778686775272,0.007993605115907274,0.24578757709490087
trans_hour,6,42300,40,42260,0.03262189831684886,0.0009456264775413711,0.005329070077271516,0.1633586747623178
trans_hour,7,42203,56,42147,0.032547091599668385,0.0013269198872118096,0.007460698108180123,0.22922779706239985
trans_hour,8,42505,49,42456,0.03277999498717875,0.001152805552287966,0.006528110844657607,0.19914923254902722
trans_hour,9,42185,47,42138,0.03253320994081015,0.0011141400971909448,0.006261657340794031,0.1924697056388314
trans_hour,10,42271,40,42231,0.03259953342202171,0.0009462752241489438,0.005329070077271516,0.16347074690558644
trans_hour,11,42082,42,42040,0.032453776004010254,0.0009980514234114348,0.005595523581135092,0.1724151784508423
trans_hour,12,65257,67,65190,0.05032641178398596,0.001026709778261336,0.008926192379429789,0.17736596079496642
trans_hour,13,65314,80,65234,0.05037037037037037,0.0012248522521970788,0.010658140154543033,0.21159542953872199
trans_hour,14,64885,86,64799,0.05003952416758247,0.00132542190028512,0.01145750066613376,0.22896901712659312
trans_hour,15,65391,79,65312,0.050429753022152815,0.0012081173250141457,0.010524913402611245,0.2087044407690804
trans_hour,16,65726,76,65650,0.05068810611756994,0.0011563156133037155,0.010125233146815881,0.19975560190255734
trans_hour,17,65450,78,65372,0.05047525401507703,0.0011917494270435446,0.010391686650679457,0.20587685695599364
trans_hour,18,66051,81,65970,0.05093874718028805,0.0012263251124131353,0.01079136690647482,0.21184986879007492
trans_hour,19,65508,81,65427,0.050519983804731335,0.0012364901996702693,0.01079136690647482,0.21360590589627584
trans_hour,20,65098,62,65036,0.05020379046407157,0.0009524102122953086,0.00826005861977085,0.1645305771420223
trans_hour,21,65533,74,65459,0.05053926388647888,0.0011292020813941069,0.009858779642952304,0.19507169049982728
trans_hour,22,66982,1931,65051,0.05165673742456668,0.02882864053029172,0.2572608579802824,4.980199501680791
trans_hour,23,67104,1904,65200,0.05175082422349471,0.02837386742966142,0.25366373567812417,4.9016366306096755
age,30~39,291316,1286,290030,0.22466385177473153,0.004414450287660136,0.17132960298427924,0.7626042268520792
age,40~49,304319,1385,302934,0.23469180789326546,0.004551145344194743,0.18451905142552624,0.7862185437228509
age,50~59,184964,1388,183576,0.14264484161412844,0.00750416297225406,0.1849187316813216,1.2963576501528822
age,20~29,209213,1223,207990,0.16134574970597876,0.005845717044351929,0.1629363176125766,1.0098581332913719
age,70~79,72893,625,72268,0.0562153199529566,0.008574211515509033,0.08326671995736744,1.4812104605479184
age,60~69,136485,855,135630,0.10525767829255596,0.006264424662050775,0.11390887290167866,1.0821906273201023
age,80~89,42299,375,41924,0.03262112711357896,0.008865457812241424,0.04996003197442046,1.5315237821327137
age,90~99,20345,146,20199,0.01569013052615343,0.00717621037109855,0.019451105782041032,1.23970324846046
age,0~19,34841,223,34618,0.026869493126650858,0.00640050515197612,0.029709565680788703,1.1056987767037885
recent_24h_high_amt_count,0,1244934,2193,1242741,0.9600971716120076,0.001761539165931688,0.29216626698641085,0.3043090591506091
recent_24h_high_amt_count,1,45913,1694,44219,0.0354082557310043,0.03689586827260253,0.2256861177724487,6.373827603567397
recent_24h_high_amt_count,2,3132,1520,1612,0.0024154086413326393,0.48531289910600256,0.2025046629363176,83.8386761854884
recent_24h_high_amt_count,3,1342,1047,295,0.001034954788208302,0.7801788375558867,0.13948840927258194,134.77729738712756
recent_24h_high_amt_count,4~5,1140,899,241,0.0008791717276881253,0.7885964912280702,0.11977084998667732,136.23146219866214
recent_24h_high_amt_count,6~10,214,153,61,0.00016503749975899898,0.7149532710280374,0.02038369304556355,123.50946345727158
amt_to_prior_median_ratio,Missing,1649,741,908,0.0012717141920681745,0.4493632504548211,0.09872102318145484,77.62830972335534
amt_to_prior_median_ratio,2~5배,247402,461,246941,0.19079723138026106,0.0018633640795143128,0.061417532640554225,0.3218994961103413
amt_to_prior_median_ratio,1~2배,350236,105,350131,0.2701031484373494,0.00029979785059217214,0.013988808952837729,0.05179061789456499
amt_to_prior_median_ratio,0.5배 미만,435880,1111,434769,0.33615208128482466,0.002548866660548775,0.14801492139621636,0.4403212999023558
amt_to_prior_median_ratio,0.5~1배,209708,319,209389,0.16172749532458017,0.001521162759646747,0.042499333866240344,0.26278360263321954
amt_to_prior_median_ratio,5~10배,34701,1314,33387,0.026761524668864597,0.03786634390939742,0.1750599520383693,6.541479015283493
amt_to_prior_median_ratio,10배 이상,17099,3455,13644,0.01318680471205198,0.20205859991812386,0.4602984279243272,34.905986550603956
rolling_sum_amt_1h,"(4.85, 9.19]",129625,219,129406,0.09996722386102917,0.0016894889103182256,0.029176658673061552,0.29186224790659276
rolling_sum_amt_1h,"(84.61, 111.71]",129639,18,129621,0.0999780207068078,0.00013884710619489505,0.002398081534772182,0.02398608732017926
rolling_sum_amt_1h,"(166.2, 28948.9]",129667,6220,123447,0.09999961439836505,0.04796902835725358,0.8286703970157208,8.286735923946415
rolling_sum_amt_1h,"(39.57, 54.29]",129630,78,129552,0.09997107987737867,0.0006017125665355242,0.010391686650679457,0.1039469280858581
rolling_sum_amt_1h,"(68.81, 84.61]",129658,7,129651,0.09999267356893593,5.398818430023601e-05,0.0009325872635225154,0.00932655593891667
rolling_sum_amt_1h,"(0.999, 4.85]",129944,11,129933,0.10021323770412786,8.465185002770424e-05,0.001465494271249667,0.014623759343814735
rolling_sum_amt_1h,"(22.31, 39.57]",129674,116,129558,0.10000501282125436,0.0008945509508459675,0.015454303224087397,0.15453528566322874
rolling_sum_amt_1h,"(54.29, 68.81]",129717,18,129699,0.10003817456186015,0.00013876361617983765,0.002398081534772182,0.0239716642699162
rolling_sum_amt_1h,"(9.19, 22.31]",129466,735,128731,0.09984460254111477,0.005677166205799206,0.09792166266986412,0.9807406727823988
rolling_sum_amt_1h,"(111.71, 166.2]",129655,84,129571,0.09999035995912622,0.0006478732019590452,0.011191047162270184,0.11192126087799693
amt_zscore_card,0~1,347803,684,347119,0.26822681088167816,0.001966630535101767,0.09112709832134293,0.33973896204410925
amt_zscore_card,-1~0,865378,1639,863739,0.6673823433011355,0.0018939700339042592,0.21835864641620037,0.3271867297778851
amt_zscore_card,2~3,11392,826,10566,0.008785547650722038,0.07250702247191011,0.1100452970956568,12.525718540336271
amt_zscore_card,5 이상,10818,2460,8358,0.00834287697379837,0.2273987798114254,0.32773780975219824,39.28354820303491
amt_zscore_card,-1 미만,6121,124,5997,0.004720535215069312,0.02025812775690247,0.0165201172395417,3.499628005486479
amt_zscore_card,1~2,44179,895,43284,0.034070989260994465,0.020258493854546276,0.11923794297895017,3.4996912495128956
amt_zscore_card,3~5,10984,878,10106,0.008470896716602078,0.07993445010924982,0.11697308819610978,13.808820023369506
prior_normal_median_amt,Missing,1649,741,908,0.0012717141920681745,0.4493632504548211,0.09872102318145484,77.62830972335534
prior_normal_median_amt,"(40.815, 45.83]",129417,698,128719,0.09980681358088958,0.005393418175355633,0.09299227284838796,0.9317226901850875
prior_normal_median_amt,"(61.645, 1433.54]",129479,874,128605,0.09985462818362349,0.006750129364607388,0.11644018118838263,1.1660969882563663
prior_normal_median_amt,"(45.83, 51.19]",129685,907,128778,0.10001349605722329,0.006993869761344797,0.12083666400213162,1.2082035801747621
prior_normal_median_amt,"(54.015, 61.645]",129493,517,128976,0.09986542502940213,0.003992493802753817,0.06887823074873435,0.6897104851699715
prior_normal_median_amt,"(1.0290000000000001, 31.56]",129538,825,128713,0.09990012917654771,0.0063687875372477575,0.10991207034372502,1.1002195017133942
prior_normal_median_amt,"(31.56, 34.905]",129519,695,128824,0.09988547631441957,0.005366008076035177,0.09259259259259259,0.9269875462287387
prior_normal_median_amt,"(51.19, 54.015]",129335,520,128815,0.09974357491275763,0.004020566745273901,0.06927791100452971,0.6945601364812198
prior_normal_median_amt,"(38.6, 40.815]",129248,674,128574,0.09967648022827617,0.005214780886358009,0.08979483080202505,0.9008627772206597
prior_normal_median_amt,"(36.875, 38.6]",129591,515,129076,0.0999410029498525,0.003974041407196488,0.06861177724487078,0.6865228006496811
prior_normal_median_amt,"(34.905, 36.875]",129721,540,129181,0.10004125937493975,0.004162780120412269,0.07194244604316546,0.7191277528158246
count_30min,0,206282,2762,203520,0.15908535292189638,0.013389437759959667,0.3679722888355982,2.3130494547556224
count_30min,1,1007030,3896,1003134,0.7766248288892745,0.0038688023196925612,0.5190514255262457,0.6683425590044434
count_30min,2,78081,717,77364,0.060216322517207474,0.009182771737042301,0.09552358113509192,1.586340333350563
count_30min,3,4939,115,4824,0.0038089729500453084,0.023284065600323953,0.01532107647215561,4.022364210271791
count_30min,4~5,343,16,327,0.0002645227215763395,0.04664723032069971,0.0021316280309086064,8.058392935797135
high_speed,0,1139777,6142,1133635,0.8789997493589373,0.005388773417958074,0.8182787103650413,0.9309202999907789
high_speed,1,156898,1364,155534,0.12100025064106272,0.008693546125508291,0.1817212896349587,1.5018257290558839
